execution	reads_filtradas	reads_amostradas	reads_reverse_complementadas	percentual_reverse_complementadas	sequencias_unicas	percentual_sequencias_unicas	numero_comparacoes	divergencia_media	divergencia_mediana	divergencia_dp	divergencia_q25	divergencia_q75	pares_menor_igual_1pct	pares_menor_igual_3pct	pares_menor_igual_5pct	PCoA1_var_pct	PCoA2_var_pct	cmdscale_additive_constant
Lib2barcode79	1120	300	213	71	300	100	44850	48.3737780559386	51.9607843137255	12.5115052478004	49.1525423728814	53.9473684210526	0.00445930880713489	0.222965440356745	1.87290969899666	6.87667134899189	1.63225623719525	194.526848386909
Lib2barcode80	142	142	65	45.7746478873239	142	100	10011	52.8178223412927	52.9085872576177	4.08427360189143	51.4285714285714	54.5918367346939	0	0	0.00998901208670462	3.87028039488284	2.01938386110495	107.339462171979
Lib2barcode81	1399	300	196	65.3333333333333	300	100	44850	44.9886471660136	52.0833333333333	15.8695308830708	46.8193219823655	54.4692737430168	0	0.0356744704570792	0.412486064659978	9.25601310477189	1.51560832179951	158.323651910704
Lib2barcode82	719	300	83	27.6666666666667	300	100	44850	46.9535170117022	51.304347826087	12.2258819783464	46.2222222222222	53.6986301369863	0.00222965440356745	0.0981047937569677	0.639910813823857	5.83904927318629	5.28481007229934	160.397855711303
Lib2barcode83	708	300	108	36	300	100	44850	48.6491482579838	52.3529411764706	11.7201433960061	49.2063492063492	54.4117647058823	0	0.129319955406912	0.706800445930881	6.1024815937384	4.18806382523384	171.747435295106
Lib2barcode84	288	288	93	32.2916666666667	288	100	41328	52.2072184509482	53.4246575342466	7.52868595497203	51.6709511568123	55.2476851851852	0	0	0.00483933410762679	4.31196569882114	3.04153061045105	197.555978107162
Lib2barcode85	372	300	69	23	300	100	44850	46.6961529388059	51.6129032258064	14.0471357291577	47.9245283018868	54.0298507462687	0	0.0535117056856187	1.12374581939799	8.11596386849048	3.29745557563041	159.352012721799
Lib2barcode86	606	300	68	22.6666666666667	300	100	44850	46.4713209237056	51.5151515151515	14.3171341630749	47.7678571428571	53.9419087136929	0.00445930880713489	0.12263099219621	1.34671125975474	8.86449004312518	1.81469774135888	152.556941889996
Lib2barcode87	192	192	50	26.0416666666667	192	100	18336	43.9865449590816	51.4367816091954	16.6940527464944	47.008547008547	53.6764705882353	0	0.0981675392670157	1.28163176265271	13.0623879947356	2.08614633935143	96.6924633338218
Lib2barcode88	272	272	81	29.7794117647059	272	100	36856	50.0809849408787	51.3245033112583	7.5181112478035	48.9795918367347	53.3898305084746	0	0	0.00271326242674191	4.38966719882855	1.94979689510486	181.357673229625
Lib2barcode89	868	300	49	16.3333333333333	300	100	44850	36.479300808209	48.6842105263158	19.7870745959009	13.6186770428016	52.1739130434783	0.00445930880713489	0.630992196209587	5.19509476031215	11.5350560505609	1.60089918954994	118.591198816551
