execution	records_before	records_after	records_removed	fraction_removed	duplicate_ids_resolved	conflicting_duplicate_ids_resolved	output_ids_unique
Lib2barcode91	1130	1130	0	0.0	0	0	1
Lib2barcode92	690	690	0	0.0	0	0	1
Lib2barcode93	709	709	0	0.0	0	0	1
Lib2barcode94	196	196	0	0.0	0	0	1
Lib2barcode95	812	782	30	0.036946	30	4	1
Lib2barcode96	850	850	0	0.0	0	0	1
Lib3barcode01	4484	4484	0	0.0	0	0	1
Lib3barcode02	5090	5090	0	0.0	0	0	1
Lib3barcode03	1865	1865	0	0.0	0	0	1
Lib3barcode09	3545	3545	0	0.0	0	0	1
Lib3barcode10	3464	3464	0	0.0	0	0	1
Lib3barcode11	4136	4136	0	0.0	0	0	1
Lib3barcode12	2896	2896	0	0.0	0	0	1
Lib3barcode13	4085	4085	0	0.0	0	0	1
Lib3barcode14	5538	5538	0	0.0	0	0	1
Lib3barcode15	2702	2702	0	0.0	0	0	1
Lib3barcode16	1351	1351	0	0.0	0	0	1
Lib3barcode17	2846	2846	0	0.0	0	0	1
Lib3barcode18	2871	2871	0	0.0	0	0	1
Lib3barcode19	3476	3476	0	0.0	0	0	1
Lib3barcode20	2184	2184	0	0.0	0	0	1
Lib3barcode21	3251	3251	0	0.0	0	0	1
Lib3barcode22	5450	5450	0	0.0	0	0	1
Lib3barcode23	5255	5255	0	0.0	0	0	1
Lib3barcode24	3249	3249	0	0.0	0	0	1
Lib3barcode25	3997	3997	0	0.0	0	0	1
Lib3barcode26	5149	5149	0	0.0	0	0	1
Lib3barcode27	3771	3771	0	0.0	0	0	1
Lib3barcode28	2549	2549	0	0.0	0	0	1
Lib3barcode29	3368	3368	0	0.0	0	0	1
Lib3barcode30	3598	3598	0	0.0	0	0	1
Lib3barcode31	1291	1291	0	0.0	0	0	1
Lib3barcode32	2371	2371	0	0.0	0	0	1
Lib3barcode33	1734	1734	0	0.0	0	0	1
Lib3barcode34	3311	3311	0	0.0	0	0	1
Lib3barcode35	4378	4378	0	0.0	0	0	1
Lib3barcode36	5522	5522	0	0.0	0	0	1
Lib3barcode37	4744	4744	0	0.0	0	0	1
Lib3barcode38	3240	3240	0	0.0	0	0	1
Lib3barcode39	2098	2098	0	0.0	0	0	1
Lib3barcode40	2865	2865	0	0.0	0	0	1
Lib3barcode41	4110	4110	0	0.0	0	0	1
Lib3barcode42	2463	2463	0	0.0	0	0	1
Lib3barcode43	3164	3164	0	0.0	0	0	1
Lib3barcode44	1700	1700	0	0.0	0	0	1
Lib3barcode45	2948	2948	0	0.0	0	0	1
Lib3barcode46	4077	4077	0	0.0	0	0	1
Lib3barcode47	2707	2707	0	0.0	0	0	1
Lib3barcode48	3094	3094	0	0.0	0	0	1
Lib3barcode49	2181	2181	0	0.0	0	0	1
Lib3barcode50	1969	1969	0	0.0	0	0	1
Lib3barcode51	3365	3365	0	0.0	0	0	1
Lib3barcode52	3863	3863	0	0.0	0	0	1
Lib3barcode53	3775	3775	0	0.0	0	0	1
Lib3barcode54	3511	3511	0	0.0	0	0	1
Lib3barcode55	4642	4642	0	0.0	0	0	1
Lib3barcode56	2728	2728	0	0.0	0	0	1
Lib3barcode57	6451	6451	0	0.0	0	0	1
Lib3barcode58	5442	5442	0	0.0	0	0	1
Lib3barcode59	3887	3887	0	0.0	0	0	1
Lib3barcode60	2363	2363	0	0.0	0	0	1
Lib3barcode61	1878	1878	0	0.0	0	0	1
Lib3barcode62	2641	2641	0	0.0	0	0	1
Lib3barcode63	2380	2380	0	0.0	0	0	1
Lib3barcode64	2107	2107	0	0.0	0	0	1
Lib3barcode65	5799	5799	0	0.0	0	0	1
Lib3barcode66	5129	5129	0	0.0	0	0	1
Lib3barcode67	5556	5556	0	0.0	0	0	1
Lib3barcode68	2263	2263	0	0.0	0	0	1
Lib3barcode69	621	621	0	0.0	0	0	1
Lib3barcode70	3333	3333	0	0.0	0	0	1
Lib3barcode71	2405	2405	0	0.0	0	0	1
Lib3barcode72	2842	2842	0	0.0	0	0	1
Lib3barcode73	3220	3220	0	0.0	0	0	1
Lib3barcode74	1965	1965	0	0.0	0	0	1
Lib3barcode75	3264	3264	0	0.0	0	0	1
Lib3barcode76	1773	1773	0	0.0	0	0	1
Lib3barcode77	3732	3732	0	0.0	0	0	1
Lib3barcode78	6053	6053	0	0.0	0	0	1
Lib3barcode79	1624	1624	0	0.0	0	0	1
Lib3barcode80	1589	1589	0	0.0	0	0	1
Lib3barcode81	2466	2466	0	0.0	0	0	1
Lib3barcode82	4485	4485	0	0.0	0	0	1
Lib3barcode83	6123	6123	0	0.0	0	0	1
Lib3barcode84	1335	1335	0	0.0	0	0	1
Lib3barcode85	2013	2013	0	0.0	0	0	1
Lib3barcode86	1850	1850	0	0.0	0	0	1
Lib3barcode87	2566	2566	0	0.0	0	0	1
Lib3barcode88	115	115	0	0.0	0	0	1
Lib3barcode89	2140	2140	0	0.0	0	0	1
Lib3barcode90	1369	1369	0	0.0	0	0	1
Lib3barcode91	4367	4367	0	0.0	0	0	1
Lib3barcode92	2251	2251	0	0.0	0	0	1
Lib3barcode93	1638	1638	0	0.0	0	0	1
Lib3barcode94	2110	2110	0	0.0	0	0	1
Lib3barcode95	4589	4589	0	0.0	0	0	1
Lib3barcode96	2925	2925	0	0.0	0	0	1
