execution	input_reads	mapped_any_target	mapped_fraction	multitarget_reads	multitarget_fraction_of_mapped	tied_best_AS_reads	tied_fraction_of_mapped	has_multitarget	has_tied_best
Lib2barcode90	717	115	0.16039052	0	0.0	0	0.0	0	0
Lib2barcode91	1130	97	0.08584071	0	0.0	0	0.0	0	0
Lib2barcode92	690	0	0.0	0		0		0	0
Lib2barcode93	709	0	0.0	0		0		0	0
Lib2barcode94	196	0	0.0	0		0		0	0
Lib2barcode95	782	467	0.5971867	0	0.0	0	0.0	0	0
Lib2barcode96	850	0	0.0	0		0		0	0
Lib3barcode01	4484	832	0.18554862	0	0.0	0	0.0	0	0
Lib3barcode02	5090	1	0.00019646	0	0.0	0	0.0	0	0
Lib3barcode03	1865	384	0.20589812	0	0.0	0	0.0	0	0
Lib3barcode09	3545	629	0.177433	0	0.0	0	0.0	0	0
Lib3barcode10	3464	784	0.22632794	0	0.0	0	0.0	0	0
Lib3barcode11	4136	0	0.0	0		0		0	0
Lib3barcode12	2896	306	0.10566298	0	0.0	0	0.0	0	0
Lib3barcode13	4085	1	0.0002448	0	0.0	0	0.0	0	0
Lib3barcode14	5538	1	0.00018057	0	0.0	0	0.0	0	0
Lib3barcode15	2702	184	0.06809771	92	0.5	5	0.02717391	1	1
Lib3barcode16	1351	0	0.0	0		0		0	0
Lib3barcode17	2846	831	0.29198876	0	0.0	0	0.0	0	0
Lib3barcode18	2871	1	0.00034831	0	0.0	0	0.0	0	0
Lib3barcode19	3476	1	0.00028769	0	0.0	0	0.0	0	0
Lib3barcode20	2184	132	0.06043956	0	0.0	0	0.0	0	0
Lib3barcode21	3251	196	0.06028914	0	0.0	0	0.0	0	0
Lib3barcode22	5450	0	0.0	0		0		0	0
Lib3barcode23	5255	0	0.0	0		0		0	0
Lib3barcode24	3249	0	0.0	0		0		0	0
Lib3barcode25	3997	135	0.03377533	0	0.0	0	0.0	0	0
Lib3barcode26	5149	481	0.0934162	0	0.0	0	0.0	0	0
Lib3barcode27	3771	736	0.19517369	0	0.0	0	0.0	0	0
Lib3barcode28	2549	0	0.0	0		0		0	0
Lib3barcode29	3368	3	0.00089074	0	0.0	0	0.0	0	0
Lib3barcode30	3598	0	0.0	0		0		0	0
Lib3barcode31	1291	122	0.09450039	0	0.0	0	0.0	0	0
Lib3barcode32	2371	237	0.09995782	0	0.0	0	0.0	0	0
Lib3barcode33	1734	453	0.26124567	0	0.0	0	0.0	0	0
Lib3barcode34	3311	395	0.11929931	0	0.0	0	0.0	0	0
Lib3barcode35	4378	410	0.09365007	0	0.0	0	0.0	0	0
Lib3barcode36	5522	466	0.08438971	0	0.0	0	0.0	0	0
Lib3barcode37	4744	600	0.12647555	0	0.0	0	0.0	0	0
Lib3barcode38	3240	0	0.0	0		0		0	0
Lib3barcode39	2098	358	0.1706387	0	0.0	0	0.0	0	0
Lib3barcode40	2865	0	0.0	0		0		0	0
Lib3barcode41	4110	1	0.00024331	0	0.0	0	0.0	0	0
