execution	input_reads	mapped_any_target	unmapped	reads_one_reported_target	reads_multiple_reported_targets	reads_unique_best_AS	reads_tied_best_AS
Lib3barcode14	5538	1	5537	1	0	1	0
Lib3barcode15	2702	184	2518	92	92	179	5
Lib3barcode16	1351	0	1351	0	0	0	0
Lib3barcode17	2846	831	2015	831	0	831	0
Lib3barcode18	2871	1	2870	1	0	1	0
Lib3barcode19	3476	1	3475	1	0	1	0
Lib3barcode20	2184	132	2052	132	0	132	0
Lib3barcode21	3251	196	3055	196	0	196	0
Lib3barcode22	5450	0	5450	0	0	0	0
Lib3barcode23	5255	0	5255	0	0	0	0
Lib3barcode24	3249	0	3249	0	0	0	0
Lib3barcode25	3997	135	3862	135	0	135	0
Lib3barcode26	5149	481	4668	481	0	481	0
Lib3barcode27	3771	736	3035	736	0	736	0
Lib3barcode28	2549	0	2549	0	0	0	0
Lib3barcode29	3368	3	3365	3	0	3	0
Lib3barcode30	3598	0	3598	0	0	0	0
Lib3barcode31	1291	122	1169	122	0	122	0
Lib3barcode32	2371	237	2134	237	0	237	0
Lib3barcode33	1734	453	1281	453	0	453	0
Lib3barcode34	3311	395	2916	395	0	395	0
Lib3barcode35	4378	410	3968	410	0	410	0
Lib3barcode36	5522	466	5056	466	0	466	0
Lib3barcode37	4744	600	4144	600	0	600	0
Lib3barcode38	3240	0	3240	0	0	0	0
Lib3barcode39	2098	358	1740	358	0	358	0
Lib3barcode40	2865	0	2865	0	0	0	0
Lib3barcode41	4110	1	4109	1	0	1	0
Lib3barcode42	2463	0	2463	0	0	0	0
Lib3barcode43	3164	1	3163	1	0	1	0
Lib3barcode44	1700	2	1698	2	0	2	0
Lib3barcode45	2948	716	2232	716	0	716	0
Lib3barcode46	4077	0	4077	0	0	0	0
Lib3barcode47	2707	2	2705	2	0	2	0
Lib3barcode48	3094	1	3093	1	0	1	0
Lib3barcode49	2181	0	2181	0	0	0	0
Lib3barcode50	1969	317	1652	317	0	317	0
Lib3barcode51	3365	1	3364	1	0	1	0
Lib3barcode52	3863	1	3862	1	0	1	0
Lib3barcode53	3775	341	3434	341	0	341	0
Lib3barcode54	3511	511	3000	511	0	511	0
Lib3barcode55	4642	1	4641	1	0	1	0
Lib3barcode56	2728	0	2728	0	0	0	0
Lib3barcode57	6451	432	6019	432	0	432	0
Lib3barcode58	5442	562	4880	562	0	562	0
Lib3barcode59	3887	0	3887	0	0	0	0
Lib3barcode60	2363	398	1965	398	0	398	0
Lib3barcode61	1878	251	1627	251	0	251	0
Lib3barcode62	2641	289	2352	289	0	289	0
Lib3barcode63	2380	2	2378	2	0	2	0
Lib3barcode64	2107	65	2042	65	0	65	0
Lib3barcode65	5799	1	5798	1	0	1	0
Lib3barcode66	5129	7	5122	7	0	7	0
