execution	reads_totais	media_original	mediana_original	moda_original	dp_original	minimo_original	maximo_original	q25_original	q75_original	reads_filtradas	reads_removidas	percentual_mantido	media_filtrada	mediana_filtrada	moda_filtrada	dp_filtrado	minimo_filtrado	maximo_filtrado	q25_filtrado	q75_filtrado	min_compr	max_compr
Lib2barcode90	717	472.016736401674	396	229	307.494492386438	83	2450	259	559	331	386	46.1645746164575	286.646525679758	279	229	63.34766130204	180	400	229	341.5	180	400
Lib2barcode91	1130	219.22389380531	203	226	148.507992630003	51	1697	134	230	567	563	50.1769911504425	240.058201058201	226	226	46.8720738425208	180	399	212	252	180	400
Lib2barcode92	690	281.585507246377	206	135	226.43262807767	51	1845	138.25	356	289	401	41.8840579710145	270.557093425606	258	182	69.5022308784261	180	399	208	334	180	400
Lib2barcode93	709	601.24682651622	479	526	471.579348197086	60	2833	288	722	198	511	27.9266572637518	293.954545454545	300	206	66.1793667489715	180	400	240	347.5	180	400
Lib2barcode94	196	483.433673469388	372.5	81	499.8083229407	58	4610	200	548.25	66	130	33.6734693877551	285.045454545455	287	182	64.1873296431101	182	400	237.75	342	180	400
Lib2barcode95	782	291.507672634271	227	229	219.971193126127	54	3136	213	253.75	572	210	73.1457800511509	233.522727272727	227	229	36.8549175370743	180	397	219	230.25	180	400
Lib2barcode96	850	141.561176470588	100	100	173.307964480017	51	1865	90	124	21	829	2.47058823529412	243.857142857143	221	194	64.7381539080979	184	373	194	291	180	400
Lib3barcode01	4484	361.909455842997	304	229	240.194570007043	52	2958	209	466	2199	2285	49.0410347903657	273.644383810823	252	229	64.1101258652817	180	400	224	330	180	400
Lib3barcode02	5090	408.95068762279	357	380	282.944951662978	50	6471	206	533	1965	3125	38.6051080550098	291.778117048346	297	380	65.7224122194206	180	400	229	350	180	400
Lib3barcode03	1865	367.495978552279	308	229	251.685673468967	55	3336	207	466	894	971	47.9356568364611	273.005592841163	249.5	229	64.6237709484415	180	399	222	329.75	180	400
Lib3barcode09	3545	441.029055007052	320	229	422.010098386007	51	9361	209	532	1651	1894	46.5726375176305	265.847970926711	231	229	66.1785135903783	180	400	215	319	180	400
Lib3barcode10	3464	361.351905311778	270	229	284.646820304377	53	5558	202.75	447	1766	1698	50.9815242494226	266.990373725934	234	229	63.3689088131254	180	399	222	316	180	400
Lib3barcode11	4136	436.765957446808	376	202	302.260560677283	51	2675	207	556	1603	2533	38.757253384913	293.94260761073	303	202	69.5702373686349	180	400	220.5	362	180	400
Lib3barcode12	2896	404.414019337017	333.5	229	296.483714477195	50	3144	209	507	1360	1536	46.9613259668508	285.690441176471	283.5	229	69.2204606137206	180	400	225	356.25	180	400
Lib3barcode13	4085	426.999265605875	370	212	301.471711280997	51	4419	201	570	1402	2683	34.3206854345165	288.422253922967	295	212	68.2016367755974	180	400	220	346	180	400
Lib3barcode14	5538	437.040267244493	374	202	305.08211337932	50	2935	216	561	2166	3372	39.1115926327194	290.836565096953	294	202	67.7286262239397	180	400	225	355	180	400
Lib3barcode15	2702	272.634715025907	222	226	220.506606351262	52	3240	144.25	332	1236	1466	45.7438934122872	255.606796116505	226	226	60.0509156632438	180	400	219	295	180	400
Lib3barcode16	1351	458.827535159141	405	411	305.799601307412	54	3145	251	574.5	453	898	33.5307179866765	296.317880794702	305	384	64.7795483056564	180	400	241	356	180	400
Lib3barcode17	2846	299.587139845397	229	229	220.315010046482	52	3409	176	377	1513	1333	53.1623330990864	258.165234633179	229	229	59.8612410671906	180	400	221	296	180	400
Lib3barcode18	2871	478.523510971787	392	382	347.520313076874	51	4282	266	598	1089	1782	37.9310344827586	303.832874196511	311	382	66.7992877013786	180	400	251	369	180	400
Lib3barcode19	3476	430.459436133487	370	173	303.059991819885	50	4075	213.75	554	1319	2157	37.945914844649	296.762699014405	303	382	65.5861670988085	180	400	239.5	359	180	400
Lib3barcode20	2184	386.000457875458	288.5	169	306.60250819265	50	2838	168	510.25	611	1573	27.9761904761905	286.180032733224	289	229	67.1987533598182	180	400	225	346	180	400
Lib3barcode21	3251	458.66348815749	379	229	377.254826693309	52	5633	229	564.5	1368	1883	42.0793601968625	296.195906432749	303	229	70.8694230672057	180	400	229	370	180	400
Lib3barcode22	5450	355.400366972477	323	133	227.03928578797	50	2345	179	472	2180	3270	40	291.905504587156	296	329	64.8467906451303	180	400	233.75	348	180	400
Lib3barcode23	5255	436.883158896289	366	202	362.958418975938	50	6439	195	559	1842	3413	35.0523311132255	290.336047774159	297.5	202	68.1364456328668	180	400	225	354	180	400
Lib3barcode24	3249	429.401969836873	371	172	308.355297072341	50	4878	215	554	1230	2019	37.8578024007387	295.705691056911	301	202	64.9305033758656	180	400	241	354.75	180	400
Lib3barcode25	3997	304.019014260696	229	229	255.850079933799	50	7496	147	382	1672	2325	41.8313735301476	275.72009569378	266	229	65.9939382305266	180	400	216	332	180	400
Lib3barcode26	5149	404.281608079239	339	229	293.664715228999	52	5640	217	515	2344	2805	45.5234026024471	285.483788395904	278	229	65.8111519295353	180	400	228	348	180	400
Lib3barcode27	3771	379.276319278706	298	229	277.176140300842	53	4618	210	477	1758	2013	46.6189339697693	269.00739476678	238	229	63.4427796178507	180	400	225	322	180	400
Lib3barcode28	2549	469.367987446057	388	81	377.614749538449	53	5382	230	584	894	1655	35.0725774813652	297.313199105145	304	376	66.8967574145131	180	400	234	358	180	400
Lib3barcode29	3368	466.484560570071	402	142	332.916747543758	50	3966	253	576	1186	2182	35.2137767220903	294.715851602024	302	316	63.5167756968832	180	400	239	346	180	400
Lib3barcode30	3598	322.934685936631	261	71	241.070620579389	51	2536	164	407.75	1610	1988	44.7470817120623	277.160869565217	280	201	66.6325477292749	180	400	213	330	180	400
Lib3barcode31	1291	569.342370255616	436	229	515.627298151212	58	5124	255	657.5	459	832	35.5538342370256	283.908496732026	279	229	65.4002149493474	180	400	226.5	344	180	400
Lib3barcode32	2371	456.849852382961	347	229	415.679444080401	53	6964	222	551	1038	1333	43.7789962041333	278.678227360308	268.5	229	65.1028451854631	180	400	225	334	180	400
Lib3barcode33	1734	381.5	268	229	338.894991200207	53	5184	213	463	882	852	50.8650519031142	259.081632653061	229	229	60.1380942278197	180	400	220	301.75	180	400
Lib3barcode34	3311	544.82120205376	401	229	478.558603100703	54	5197	229	678.5	1221	2090	36.8770764119601	279.110565110565	266	229	64.212429684539	180	400	226	335	180	400
Lib3barcode35	4378	532.504111466423	457	229	357.500991250096	50	4496	286.25	664.75	1478	2900	33.7597076290544	288.39648173207	285.5	229	63.6976060092535	180	400	228	346	180	400
Lib3barcode36	5522	505.260775081492	385	229	407.690319894943	53	3739	229	627	2200	3322	39.8406374501992	283.265	278	229	63.8461746523261	180	400	228	336	180	400
Lib3barcode37	4744	363.138279932546	296	229	251.603342368227	50	3164	203	467	2212	2532	46.6273187183811	273.446654611212	257.5	229	62.2725248200565	180	400	226	323	180	400
Lib3barcode38	3240	443.609567901235	338	328	375.219535246452	54	4489	205	545	1333	1907	41.141975308642	284.729182295574	289	328	64.3187984491351	180	400	226	336	180	400
Lib3barcode39	2098	364.219733079123	269	229	277.629764221033	54	3258	197.25	451.75	989	1109	47.1401334604385	268.176946410516	240	229	62.0579756557368	180	400	223	319	180	400
Lib3barcode40	2865	488.474345549738	420	334	334.833275011024	51	3568	261	618	919	1946	32.0767888307155	295.793253536453	306	334	63.7531213142656	180	400	238	345	180	400
Lib3barcode41	4110	357.376399026764	255	162	338.612357600922	50	4643	171	415.75	1889	2221	45.9610705596107	267.808893594494	258	207	60.7117914064256	180	400	214	316	180	400
Lib3barcode42	2463	371.457572066585	293	303	315.649146938093	50	4356	158	490.5	878	1585	35.6475842468534	283.179954441913	286	303	60.8362061299084	180	400	231	326	180	400
Lib3barcode43	3164	367.429519595449	304	305	267.037627131055	50	3536	186	454	1425	1739	45.0379266750948	284.103157894737	293	305	61.6574092923038	180	400	229	330	180	400
Lib3barcode44	1700	406.907647058824	329	303	290.502874766413	54	2051	197.75	516	674	1026	39.6470588235294	281.017804154303	287	303	64.0182434337894	180	400	221.25	331	180	400
Lib3barcode45	2948	369.312415196744	254.5	229	303.094523565963	53	3501	204	450	1481	1467	50.2374491180461	261.55773126266	230	229	61.0128437629205	180	400	221	309	180	400
Lib3barcode46	4077	474.860681873927	382	202	367.904711252989	51	4158	234	587	1480	2597	36.3012018641158	294.026351351351	300	202	63.9298549227015	180	400	238	351	180	400
Lib3barcode47	2707	418.095677872183	341	202	322.890276876665	53	5577	202	537.5	1046	1661	38.6405615072036	285.108030592734	288	202	62.460098593495	180	400	229	335	180	400
Lib3barcode48	3094	429.952811893988	376	329	279.98219258333	50	3107	229	548	1145	1949	37.0071105365223	296.816593886463	304	329	63.5374007796102	180	400	238	350	180	400
Lib3barcode49	2181	408.086198991288	365	400	262.550475526808	50	2648	220	523	852	1329	39.0646492434663	297.19014084507	308	400	65.6502429795228	180	400	240.75	353	180	400
Lib3barcode50	1969	508.43219908583	398	229	426.044023259774	52	5688	229	623	774	1195	39.3092940578974	275.404392764858	251.5	229	62.7346041896028	180	400	226	329	180	400
Lib3barcode51	3365	503.922436849926	430	302	343.984566388092	54	3863	291	619	1097	2268	32.6002971768202	302.718322698268	311	302	61.836772728027	180	400	251	355	180	400
Lib3barcode52	3863	393.107170592804	315	69	336.143539177777	51	4126	174	493.5	1523	2340	39.4253171110536	291.495732107682	299	202	67.105300596204	180	400	227	354	180	400
Lib3barcode53	3775	428.790198675497	326	229	356.716569013455	51	3669	208	535	1595	2180	42.2516556291391	277.552351097179	268	229	63.5228467316324	180	400	227	329	180	400
Lib3barcode54	3511	393.299629735118	308	229	330.843540194126	53	7010	211	488.5	1684	1827	47.9635431500997	272.064726840855	254	229	61.8283131890955	180	400	225	324	180	400
Lib3barcode55	4642	473.530159414046	427	326	278.394262302305	51	2926	290	595	1538	3104	33.1322705730289	301.968790637191	311.5	326	63.1919677634603	180	400	250	355	180	400
Lib3barcode56	2728	444.680351906158	372	202	343.45616548784	50	5076	218	559	1049	1679	38.4530791788856	291.042897998093	295	202	64.8550870657896	180	400	234	346	180	400
Lib3barcode57	6451	425.792900325531	362	229	292.185628401125	50	3761	224	545	2611	3840	40.474345062781	281.325545767905	278	229	64.6721981462212	180	400	226	336	180	400
Lib3barcode58	5442	492.490995957369	378	229	402.153952965108	51	7013	228	617	2156	3286	39.6177875780963	279.256957328386	267	229	63.8671171438728	180	400	226	334	180	400
Lib3barcode59	3887	489.579367121173	382	202	431.856620089697	53	5913	231	590	1454	2433	37.4067404167739	294.832187070151	305	202	65.5842242502412	180	400	236	351	180	400
Lib3barcode60	2363	381.198899703766	290	229	297.091438494785	52	3102	205	478	1130	1233	47.8205670757512	269.799115044248	246.5	229	62.1303338729972	180	400	224	319	180	400
Lib3barcode61	1878	383.051118210863	301.5	229	283.670501050139	53	2562	205	475	888	990	47.2843450479233	275.961711711712	263.5	229	64.0819013207813	180	400	226	328	180	400
Lib3barcode62	2641	368.993941688754	294	229	276.782302803306	50	3199	197	459	1193	1448	45.1722832260507	272.371332774518	254	229	61.9429978518143	180	400	225	322	180	400
Lib3barcode63	2380	475.226470588235	381	329	389.685923981679	53	5429	241	569.25	916	1464	38.4873949579832	293.594978165939	302	329	64.5449031388359	180	400	237	347	180	400
Lib3barcode64	2107	415.451352634077	337	229	349.621108009833	50	5445	198	518	841	1266	39.9145704793545	285.048751486326	285	229	66.2088236925327	180	400	226	344	180	400
Lib3barcode65	5799	433.319192964304	354	315	330.762093192115	50	3350	204	554	2223	3576	38.3341955509571	286.604588394062	290	315	65.6822583415442	180	400	226	342	180	400
Lib3barcode66	5129	471.900760382141	405	328	314.161390976286	50	2776	261	597	1804	3325	35.1725482550205	299.128048780488	309.5	328	63.5256418010912	180	400	241.75	354	180	400
Lib3barcode67	5556	469.604571634269	387	229	340.368290034757	51	3100	228	603.25	2027	3529	36.4830813534917	285.951159348791	286	229	65.0021495763309	180	400	228	342	180	400
Lib3barcode68	2263	411.640742377375	351	452	292.309237047793	51	3145	206	520	889	1374	39.2841361025188	286.206974128234	288	198	65.4153734028393	180	400	227	340	180	400
Lib3barcode69	621	398.563607085346	322	187	322.020177532303	56	2790	181	518	228	393	36.7149758454106	281.267543859649	286	187	65.8220361258734	181	400	217.75	337	180	400
Lib3barcode70	3333	372.734773477348	309	229	265.168729008275	51	3076	190	484	1417	1916	42.5142514251425	277.030345800988	265	229	64.9703522951206	180	400	226	333	180	400
Lib3barcode71	2405	426.555925155925	323	229	425.750371995849	50	8137	216	501	1117	1288	46.4449064449065	280.203222918532	272	229	64.2770999734846	180	400	227	335	180	400
Lib3barcode72	2842	360.016537649543	301.5	229	239.917889144199	51	3903	202.25	470.75	1309	1533	46.0591133004926	275.746371275783	262	229	63.0233549452116	180	400	226	328	180	400
Lib3barcode73	3220	495.68850931677	410	229	352.793142096817	55	3885	250	619	1167	2053	36.2422360248447	288.654670094259	292	229	64.4266561607451	180	400	229	342	180	400
Lib3barcode74	1965	390.129262086514	340	381	261.869171374194	52	2331	201	498	780	1185	39.6946564885496	288.225641025641	296	381	63.7652172900364	180	400	228	340	180	400
Lib3barcode75	3264	409.738970588235	359	305	276.448835793916	51	3023	222	519	1331	1933	40.7781862745098	291.537190082645	299	305	64.4662347308194	180	400	233	346	180	400
Lib3barcode76	1773	313.796390298928	233	229	218.359814859391	50	1652	163	409	790	983	44.5572476029329	269.560759493671	247	229	63.8410234743805	180	400	223	321.75	180	400
Lib3barcode77	3732	520.797963558414	403	202	455.232060385846	52	6803	249	632.25	1282	2450	34.3515541264737	294.47503900156	300	202	64.5719207085212	180	400	237	352.75	180	400
Lib3barcode78	6053	336.430530315546	260	388	300.740382940056	50	3880	164	390	2852	3201	47.1171320006608	281.395511921459	276	388	66.7640895673211	180	400	222	337	180	400
Lib3barcode79	1624	277.96921182266	223	226	228.59596967346	51	3868	147	337.25	771	853	47.4753694581281	258.732814526589	227	226	62.0689495096943	180	400	219	298.5	180	400
Lib3barcode80	1589	240.634990560101	201	226	196.082284131445	50	2939	124	272	673	916	42.35368156073	251.408618127786	226	226	56.7660276036915	180	400	217	284	180	400
Lib3barcode81	2466	369.485401459854	308	214	272.607822221018	51	2373	189	458.75	1145	1321	46.4314679643147	275.631441048035	271	214	69.1786760525713	180	400	210	338	180	400
Lib3barcode82	4485	411.760535117057	276	125	394.848885607354	50	4187	158	530	1482	3003	33.0434782608696	272.48717948718	265	254	63.6728548804176	180	400	215	323	180	400
Lib3barcode83	6123	534.093091621754	443	382	385.520142098569	53	4162	273	683	1826	4297	29.8219826882247	300.390470974808	309.5	382	66.0407785779008	180	400	241	360	180	400
Lib3barcode84	1335	441.952059925094	378	229	293.69833646525	51	2453	229	566	557	778	41.7228464419476	283.201077199282	271	229	65.2607867452373	180	400	227	346	180	400
Lib3barcode85	2013	252.857923497268	215	229	187.834760625568	52	3485	135	318	932	1081	46.2990561351217	261.543991416309	230	229	62.4873022233599	180	399	217	309	180	400
Lib3barcode86	1850	373.596216216216	248	218	330.437538228286	52	3135	172.25	462.5	777	1073	42	261.778635778636	236	218	62.8355725855754	180	400	213	318	180	400
Lib3barcode87	2566	474.485970381917	419	468	316.044673844492	51	3152	260	608.75	797	1769	31.0600155884645	305.048933500627	315	368	64.121166430547	180	400	250	363	180	400
Lib3barcode88	115	713.008695652174	599	363	477.56960539161	60	2626	445	809.5	19	96	16.5217391304348	307.947368421053	298	363	63.747308164703	197	400	261	364.5	180	400
Lib3barcode89	2140	415.251869158878	282	220	388.190016779076	53	4310	178	522.25	852	1288	39.8130841121495	267.191314553991	255	220	61.7294979997351	180	400	216	318	180	400
Lib3barcode90	1369	423.72315558802	325	229	334.010505223102	52	3447	218	540	617	752	45.0693937180424	267.805510534846	236	229	63.2127496857356	180	400	223	322	180	400
Lib3barcode91	4367	478.906114037096	403	172	339.65319527653	51	2782	235	612	1426	2941	32.6539958781772	295.747545582048	303	315	64.4371534780795	180	400	236	351	180	400
Lib3barcode92	2251	594.636161705909	474	229	477.526952824625	55	4880	306	715	695	1556	30.8751665926255	294.584172661871	298	229	63.6915163834311	180	400	231	350	180	400
Lib3barcode93	1638	410.557997557998	310	226	344.221004846153	52	4061	208	514.5	724	914	44.2002442002442	269.117403314917	240.5	226	63.4398356981942	180	400	220	320	180	400
Lib3barcode94	2110	404.28672985782	262	226	372.042159166749	51	4135	190	510.5	940	1170	44.5497630331754	259.922340425532	228	226	58.6886636820333	180	400	222	304	180	400
